Commodity_Description,Country_Code,Country_Name,Market_Year,Attribute_Description,Metric Ton
Oranges,US,United States,2018,Exports,595000
Oranges,US,United States,2018,For Processing,3350000
Oranges,US,United States,2018,Fresh Dom. Consumption,1277000
Oranges,US,United States,2018,Imports,200000
Oranges,US,United States,2018,Production,5022000
Oranges,US,United States,2018,Total Distribution,5222000
Oranges,US,United States,2018,Total Supply,5222000
Oranges,UY,Uruguay,1966,Exports,0
Oranges,UY,Uruguay,1966,For Processing,0
Oranges,UY,Uruguay,1966,Fresh Dom. Consumption,38000
Oranges,UY,Uruguay,1966,Imports,0
Oranges,UY,Uruguay,1966,Production,38000
Oranges,UY,Uruguay,1966,Total Distribution,38000
Oranges,UY,Uruguay,1966,Total Supply,38000
Oranges,UY,Uruguay,1967,Exports,0
Oranges,UY,Uruguay,1967,For Processing,0
Oranges,UY,Uruguay,1967,Fresh Dom. Consumption,44000
Oranges,UY,Uruguay,1967,Imports,0
Oranges,UY,Uruguay,1967,Production,44000
Oranges,UY,Uruguay,1967,Total Distribution,44000
Oranges,UY,Uruguay,1967,Total Supply,44000
Oranges,UY,Uruguay,1968,Exports,0
Oranges,UY,Uruguay,1968,For Processing,0
Oranges,UY,Uruguay,1968,Fresh Dom. Consumption,64000
Oranges,UY,Uruguay,1968,Imports,0
Oranges,UY,Uruguay,1968,Production,64000
Oranges,UY,Uruguay,1968,Total Distribution,64000
Oranges,UY,Uruguay,1968,Total Supply,64000
Oranges,UY,Uruguay,1969,Exports,0
Oranges,UY,Uruguay,1969,For Processing,0
Oranges,UY,Uruguay,1969,Fresh Dom. Consumption,59000
Oranges,UY,Uruguay,1969,Imports,0
Oranges,UY,Uruguay,1969,Production,59000
Oranges,UY,Uruguay,1969,Total Distribution,59000
Oranges,UY,Uruguay,1969,Total Supply,59000
Oranges,UY,Uruguay,1970,Exports,0
Oranges,UY,Uruguay,1970,For Processing,0
Oranges,UY,Uruguay,1970,Fresh Dom. Consumption,60000
Oranges,UY,Uruguay,1970,Imports,0
Oranges,UY,Uruguay,1970,Production,60000
Oranges,UY,Uruguay,1970,Total Distribution,60000
Oranges,UY,Uruguay,1970,Total Supply,60000
Oranges,UY,Uruguay,1971,Exports,0
Oranges,UY,Uruguay,1971,For Processing,0
Oranges,UY,Uruguay,1971,Fresh Dom. Consumption,62000
Oranges,UY,Uruguay,1971,Imports,0
Oranges,UY,Uruguay,1971,Production,62000
Oranges,UY,Uruguay,1971,Total Distribution,62000
Oranges,UY,Uruguay,1971,Total Supply,62000
Oranges,UY,Uruguay,1972,Exports,0
Oranges,UY,Uruguay,1972,For Processing,0
Oranges,UY,Uruguay,1972,Fresh Dom. Consumption,44000
Oranges,UY,Uruguay,1972,Imports,0
Oranges,UY,Uruguay,1972,Production,44000
Oranges,UY,Uruguay,1972,Total Distribution,44000
Oranges,UY,Uruguay,1972,Total Supply,44000
Oranges,UY,Uruguay,1973,Exports,0
Oranges,UY,Uruguay,1973,For Processing,0
Oranges,UY,Uruguay,1973,Fresh Dom. Consumption,40000
Oranges,UY,Uruguay,1973,Imports,0
Oranges,UY,Uruguay,1973,Production,40000
Oranges,UY,Uruguay,1973,Total Distribution,40000
Oranges,UY,Uruguay,1973,Total Supply,40000
Oranges,UY,Uruguay,1974,Exports,0
Oranges,UY,Uruguay,1974,For Processing,0
Oranges,UY,Uruguay,1974,Fresh Dom. Consumption,41000
Oranges,UY,Uruguay,1974,Imports,0
Oranges,UY,Uruguay,1974,Production,41000
Oranges,UY,Uruguay,1974,Total Distribution,41000
Oranges,UY,Uruguay,1974,Total Supply,41000
Oranges,UY,Uruguay,1975,Exports,0
Oranges,UY,Uruguay,1975,For Processing,0
Oranges,UY,Uruguay,1975,Fresh Dom. Consumption,42000
Oranges,UY,Uruguay,1975,Imports,0
Oranges,UY,Uruguay,1975,Production,42000
Oranges,UY,Uruguay,1975,Total Distribution,42000
Oranges,UY,Uruguay,1975,Total Supply,42000
Oranges,UY,Uruguay,1976,Exports,0
Oranges,UY,Uruguay,1976,For Processing,0
Oranges,UY,Uruguay,1976,Fresh Dom. Consumption,47000
Oranges,UY,Uruguay,1976,Imports,0
Oranges,UY,Uruguay,1976,Production,47000
Oranges,UY,Uruguay,1976,Total Distribution,47000
Oranges,UY,Uruguay,1976,Total Supply,47000
Oranges,UY,Uruguay,1977,Exports,0
Oranges,UY,Uruguay,1977,For Processing,0
Oranges,UY,Uruguay,1977,Fresh Dom. Consumption,35000
Oranges,UY,Uruguay,1977,Imports,0
Oranges,UY,Uruguay,1977,Production,35000
Apples,AR,Argentina,1995,Imports,8551
Apples,AR,Argentina,1995,Non-Comm. Production,0
Apples,AR,Argentina,1995,Production,1253480
Apples,AR,Argentina,1995,Total Distribution,1262031
Apples,AR,Argentina,1995,Total Supply,1262031
Apples,AR,Argentina,1995,Withdrawal From Market,0
Apples,AR,Argentina,1996,Commercial Production,1390985
Apples,AR,Argentina,1996,Exports,229654
Apples,AR,Argentina,1996,For Processing,758650
Apples,AR,Argentina,1996,Fresh Dom. Consumption,407714
Apples,AR,Argentina,1996,Imports,5033
Apples,AR,Argentina,1996,Non-Comm. Production,0
Apples,AR,Argentina,1996,Production,1390985
Apples,AR,Argentina,1996,Total Distribution,1396018
Apples,AR,Argentina,1996,Total Supply,1396018
Apples,AR,Argentina,1996,Withdrawal From Market,0
Apples,AR,Argentina,1997,Commercial Production,1108335
Apples,AR,Argentina,1997,Exports,228021
Apples,AR,Argentina,1997,For Processing,562719
Apples,AR,Argentina,1997,Fresh Dom. Consumption,324009
Apples,AR,Argentina,1997,Imports,6414
Apples,AR,Argentina,1997,Non-Comm. Production,0
Apples,AR,Argentina,1997,Production,1108335
Apples,AR,Argentina,1997,Total Distribution,1114749
Apples,AR,Argentina,1997,Total Supply,1114749
Apples,AR,Argentina,1997,Withdrawal From Market,0
Apples,AR,Argentina,1998,Commercial Production,1316035
Apples,AR,Argentina,1998,Exports,179723
Apples,AR,Argentina,1998,For Processing,817998
Apples,AR,Argentina,1998,Fresh Dom. Consumption,330172
Apples,AR,Argentina,1998,Imports,11858
Apples,AR,Argentina,1998,Non-Comm. Production,0
Apples,AR,Argentina,1998,Production,1316035
Apples,AR,Argentina,1998,Total Distribution,1327893
Apples,AR,Argentina,1998,Total Supply,1327893
Apples,AR,Argentina,1998,Withdrawal From Market,0
Apples,AR,Argentina,1999,Commercial Production,847084
Apples,AR,Argentina,1999,Exports,95895
Apples,AR,Argentina,1999,For Processing,439799
Apples,AR,Argentina,1999,Fresh Dom. Consumption,324670
Apples,AR,Argentina,1999,Imports,13280
Apples,AR,Argentina,1999,Non-Comm. Production,0
Apples,AR,Argentina,1999,Production,847084
Apples,AR,Argentina,1999,Total Distribution,860364
Apples,AR,Argentina,1999,Total Supply,860364
Apples,AR,Argentina,1999,Withdrawal From Market,0
Apples,AR,Argentina,2000,Commercial Production,1330800
Apples,AR,Argentina,2000,Exports,194900
Apples,AR,Argentina,2000,For Processing,782800
Apples,AR,Argentina,2000,Fresh Dom. Consumption,357497
Apples,AR,Argentina,2000,Imports,4397
Apples,AR,Argentina,2000,Non-Comm. Production,0
Apples,AR,Argentina,2000,Production,1330800
Apples,AR,Argentina,2000,Total Distribution,1335197
Apples,AR,Argentina,2000,Total Supply,1335197
Apples,AR,Argentina,2000,Withdrawal From Market,0
Apples,AR,Argentina,2001,Commercial Production,900000
Apples,AR,Argentina,2001,Exports,166000
Apples,AR,Argentina,2001,For Processing,360000
Apples,AR,Argentina,2001,Fresh Dom. Consumption,374400
Apples,AR,Argentina,2001,Imports,400
Apples,AR,Argentina,2001,Non-Comm. Production,0
Apples,AR,Argentina,2001,Production,900000
Apples,AR,Argentina,2001,Total Distribution,900400
Apples,AR,Argentina,2001,Total Supply,900400
Apples,AR,Argentina,2001,Withdrawal From Market,0
Apples,AR,Argentina,2002,Commercial Production,1000000
Apples,AR,Argentina,2002,Exports,200500
Apples,AR,Argentina,2002,For Processing,450000
Apples,AR,Argentina,2002,Fresh Dom. Consumption,349600
Apples,AR,Argentina,2002,Imports,100
Apples,AR,Argentina,2002,Non-Comm. Production,0
Apples,AR,Argentina,2002,Production,1000000
Apples,AR,Argentina,2002,Total Distribution,1000100
Apples,AR,Argentina,2002,Total Supply,1000100
Apples,AR,Argentina,2002,Withdrawal From Market,0
Apples,AR,Argentina,2003,Commercial Production,900000
Apples,AR,Argentina,2003,Exports,206300
Apples,AR,Argentina,2003,For Processing,450000
Apples,AR,Argentina,2003,Fresh Dom. Consumption,244000
Apples,AR,Argentina,2003,Imports,300
Apples,AR,Argentina,2003,Non-Comm. Production,0
Apples,AR,Argentina,2003,Production,900000
Apples,AR,Argentina,2003,Total Distribution,900300
Apples,AR,Argentina,2003,Total Supply,900300
Apples,AR,Argentina,2003,Withdrawal From Market,0
Apples,AR,Argentina,2004,Commercial Production,1121000
Apples,AR,Argentina,2004,Exports,273700
Apples,AR,Argentina,2004,For Processing,680000
Apples,AR,Argentina,2004,Fresh Dom. Consumption,167400
Apples,AR,Argentina,2004,Imports,100
Apples,AR,Argentina,2004,Non-Comm. Production,0
Apples,AR,Argentina,2004,Production,1121000
Apples,AR,Argentina,2004,Total Distribution,1121100
Apples,AR,Argentina,2004,Total Supply,1121100
Apples,AR,Argentina,2004,Withdrawal From Market,0
Apples,AR,Argentina,2005,Commercial Production,1051000
Apples,AR,Argentina,2005,Exports,237300
Apples,AR,Argentina,2005,For Processing,630000
Apples,AR,Argentina,2005,Fresh Dom. Consumption,183900
Apples,AR,Argentina,2005,Imports,200
Apples,AR,Argentina,2005,Non-Comm. Production,0
Apples,AR,Argentina,2005,Production,1051000
Apples,AR,Argentina,2005,Total Distribution,1051200
Apples,AR,Argentina,2005,Total Supply,1051200
Apples,AR,Argentina,2005,Withdrawal From Market,0
Apples,AR,Argentina,2006,Commercial Production,1047000
Apples,AR,Argentina,2006,Exports,283300
Apples,AR,Argentina,2006,For Processing,630000
Apples,AR,Argentina,2006,Fresh Dom. Consumption,133700
Apples,AR,Argentina,2006,Imports,0
Apples,AR,Argentina,2006,Non-Comm. Production,0
Apples,AR,Argentina,2006,Production,1047000
Apples,AR,Argentina,2006,Total Distribution,1047000
Apples,AR,Argentina,2006,Total Supply,1047000
Apples,AR,Argentina,2006,Withdrawal From Market,0
Apples,AR,Argentina,2007,Commercial Production,980000
Apples,AR,Argentina,2007,Exports,235900
Apples,AR,Argentina,2007,For Processing,350000
Apples,AR,Argentina,2007,Fresh Dom. Consumption,394900
Apples,AR,Argentina,2007,Imports,800
Apples,AR,Argentina,2007,Non-Comm. Production,0
Apples,AR,Argentina,2007,Production,980000
Apples,AR,Argentina,2007,Total Distribution,980800
Apples,AR,Argentina,2007,Total Supply,980800
Apples,AR,Argentina,2007,Withdrawal From Market,0
Apples,AR,Argentina,2008,Commercial Production,933000
Apples,AR,Argentina,2008,Exports,207200
Apples,AR,Argentina,2008,For Processing,471000
Apples,AR,Argentina,2008,Fresh Dom. Consumption,256200
Apples,AR,Argentina,2008,Imports,1400
Apples,AR,Argentina,2008,Non-Comm. Production,0
Apples,AR,Argentina,2008,Production,933000
Apples,AR,Argentina,2008,Total Distribution,934400
Apples,AR,Argentina,2008,Total Supply,934400
Apples,AR,Argentina,2008,Withdrawal From Market,0
Apples,AR,Argentina,2009,Commercial Production,830000
Apples,AR,Argentina,2009,Exports,178800
Apples,AR,Argentina,2009,For Processing,380000
Apples,AR,Argentina,2009,Fresh Dom. Consumption,273600
Apples,AR,Argentina,2009,Imports,2400
Apples,AR,Argentina,2009,Non-Comm. Production,0
Apples,AR,Argentina,2009,Production,830000
Apples,AR,Argentina,2009,Total Distribution,832400
Apples,AR,Argentina,2009,Total Supply,832400
Apples,AR,Argentina,2009,Withdrawal From Market,0
Apples,AR,Argentina,2010,Commercial Production,1060000
Apples,AR,Argentina,2010,Exports,233400
Apples,AR,Argentina,2010,For Processing,500000
Apples,AR,Argentina,2010,Fresh Dom. Consumption,326900
